 48.9392  49.4742  48.4472  48.5586  48.8089
 49.1081  49.0365  48.9744  48.9943  48.6306
 48.9219  49.0718  48.7498  49.2695  49.8966
 49.4421  48.7563  49.2433  49.2323  49.0417
 49.2517  49.2255  48.9356  49.2263  49.1596
 49.1563  49.2479  49.0399  49.2472  48.4237
 49.4723  48.9444  48.0357  48.6972  48.9746
 48.8700  49.0492  49.4350  48.9985  49.0118
 49.4063  48.9995  49.4268  48.7258  48.9849
 48.8618  48.7322  49.2790  48.8878  48.8612
 48.5150  49.0260  49.2740  48.4975  49.1966
 49.0203  49.1432  49.5659  49.3096  48.9491
 49.4507  48.9945  48.9687  48.3155  48.3443
 48.9959  49.1895  48.7772  49.0706  49.0165
 49.2741  48.8290  48.3837  48.5552  49.1057
 48.1166  49.5269  48.5265  49.1478  49.3584
 48.2684  48.8335  48.7025  49.1436  48.8038
 49.2793  48.6466  49.0625  48.3631  48.6831
 49.3306  48.8175  49.3168  49.1359  48.9140
 49.4426  48.8184  48.3306  49.3243  49.7524
 49.5850  48.5848  48.7912  48.7899  49.2882
 49.0705  48.5705  48.7412  48.8070  48.6912
 48.9949  48.8653  48.8334  49.3060  48.4808
 49.1893  49.3239  48.6045  48.9917  48.7959
 49.5564  49.1311  48.9696  49.1436  49.5462
 49.4071  49.0479  48.7576  49.0709  48.8038
 48.9140  49.7577  49.4482  49.0363  49.0822
 48.5674  49.0820  48.8655  48.5898  48.9414
 48.5382  49.2737  48.4564  48.4763  48.8039
 48.9349  49.1890  49.1958  49.1986  48.8878
 49.1393  49.0849  49.6189  49.1703  49.0734
 49.0827  48.3812  49.7591  49.3679  49.4987
 48.4710  49.1380  48.8999  49.6465  48.7835
 48.8328  47.9836  49.2547  48.7509  49.2663
 48.7529  48.6702  49.0638  48.7855  49.1042
 48.7003  48.7739  49.1386  49.1799  49.0993
 49.1563  49.1501  48.3855  49.1405  48.8222
 49.1876  48.1915  48.6501  48.9576  48.3872
 48.5587  48.4680  48.6033  49.4757  48.7399
 49.0263  49.0560  48.4692  48.4210  49.3303
 48.6310  49.1100  49.3547  49.3763  49.1715
 48.7575  48.9871  48.8008  49.0010  48.7630
 48.2126  49.0049  48.7076  49.2178  49.6068
 48.9337  49.2461  49.5904  49.0342  49.0248
 48.5705  48.2140  49.5990  49.0086  49.3941
 49.6194  48.8087  49.7205  49.0218  48.9261
 49.6065  48.5812  48.3962  48.8256  49.1472
 48.8284  49.2286  49.4207  48.8859  48.8090
 49.0428  49.3841  49.2250  48.5851  49.0572
 48.9101  48.4603  49.0556  49.0718  48.5102
 49.0108  49.2161  48.9667  49.4193  49.0687
 49.5647  48.8641  49.5322  48.7483  48.4847
 49.5921  49.3800  48.8392  48.9429  49.1482
 48.9539  49.3574  49.2959  49.6663  49.5065
 49.5131  48.8398  49.1349  49.4104  49.0949
 49.4139  48.9372  49.0726  49.1990  48.6009
 49.2532  49.1225  48.8013  48.8696  48.6856
 48.7775  48.9833  48.9569  49.1650  48.7547
